SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
0,-4.680176,0,0,0,0,376.3623031,0,0,09/12/2014 1:01
0,-4.844943326,0,0,0,0,376.2817,0,0,09/12/2014 1:02
0,-5.256304567,0,0,0,0,378.1128,0,0,09/12/2014 1:02
0,-5.668945,0,0,0,0,378.0541261,0,0,09/12/2014 1:02
0,-3.010254,0,0,0,0,378.0425967,0,0,09/12/2014 1:02
0,-9.008789,0,0,0,0,378.0304219,0,0,09/12/2014 1:02
0,-6.789551,0,0,0,0,377.8544062,0,0,09/12/2014 1:02
0,-6.635742,0,0,0,0,377.5849347,0,0,09/12/2014 1:03
0,-7.635798026,0,0,0,0,377.1973,0,0,09/12/2014 1:04
0,-7.998047,0,0,0,0,377.1973,0,0,09/12/2014 1:05
0,-1.801758,0,0,0,0,377.1973,0,0,09/12/2014 1:05
0,-9.052734,0,0,0,0,377.1973,0,0,09/12/2014 1:05
0,-4.855957,0,0,0,0,377.1973,0,0,09/12/2014 1:05
0,-8.085938,0,0,0,0,377.1973,0,0,09/12/2014 1:06
0,-5.20752,0,0,0,0,377.1973,0,0,09/12/2014 1:06
0,-7.474283774,0,0,0,0,379.9438,0,0,09/12/2014 1:08
0,-7.672311023,0,0,0,0,378.1128,0,0,09/12/2014 1:08
0,-7.769204865,0,0,0,0,379.9438,0,0,09/12/2014 1:08
0,-7.869574168,0,0,0,0,378.1128,0,0,09/12/2014 1:08
0,-9.052734,0,0,0,0,377.8790604,0,0,09/12/2014 1:09
0,-8.481445,0,0,0,0,377.7622271,0,0,09/12/2014 1:09
0,-3.515625,0,0,0,0,377.7329811,0,0,09/12/2014 1:09
0,-6.350098,0,0,0,0,377.6549623,0,0,09/12/2014 1:10
0,-8.942871,0,0,0,0,377.3628037,0,0,09/12/2014 1:11
0,-7.998047,0,0,0,0,377.32414,0,0,09/12/2014 1:11
0,-8.298455938,0,0,0,0,377.1973,0,0,09/12/2014 1:11
0,-8.413865652,0,0,0,0,375.3662,0,0,09/12/2014 1:11
0,-8.459605128,0,0,0,0,377.1973,0,0,09/12/2014 1:11
0,-8.920898,0,0,0,0,377.1973,0,0,09/12/2014 1:12
0,-7.053223,0,0,0,0,377.1973,0,0,09/12/2014 1:13
0,-7.355415944,0,0,0,0,377.1973,0,0,09/12/2014 1:13
0,-7.596765687,0,0,0,0,379.9438,0,0,09/12/2014 1:13
0,-7.657578695,0,0,0,0,376.2817,0,0,09/12/2014 1:13
0,-8.745117,0,0,0,0,376.5060657,0,0,09/12/2014 1:14
0,-3.823242,0,0,0,0,376.5186118,0,0,09/12/2014 1:14
0,-7.646484,0,0,0,0,376.5310644,0,0,09/12/2014 1:14
0,-5.163574,0,0,0,0,377.0047946,0,0,09/12/2014 1:15
0,-8.591309,0,0,0,0,377.016562,0,0,09/12/2014 1:15
0,-7.888184,0,0,0,0,377.5148798,0,0,09/12/2014 1:17
0,-6.240234,0,0,0,0,377.5400591,0,0,09/12/2014 1:17
0,-9.074707,0,0,0,0,377.7890062,0,0,09/12/2014 1:17
0,-4.592285,0,0,0,0,377.888833,0,0,09/12/2014 1:18
0,2.219238,0,0,0,0,377.9011797,0,0,09/12/2014 1:18
0,-9.030762,0,0,0,0,377.9632935,0,0,09/12/2014 1:18
0,-5.646973,0,0,0,0,378.1009391,0,0,09/12/2014 1:18
0,-9.008789,0,0,0,0,378.1128,0,0,09/12/2014 1:18
0,-7.272949,0,0,0,0,378.5163252,0,0,09/12/2014 1:19
0,-5.932617,0,0,0,0,378.6714914,0,0,09/12/2014 1:19
0,-5.706128293,0,0,0,0,379.0283,0,0,09/12/2014 1:20
0,-5.646973,0,0,0,0,378.3412461,0,0,09/12/2014 1:20
0,-9.052734,0,0,0,0,378.2270517,0,0,09/12/2014 1:20
0,-9.003347506,0,0,0,0,378.1128,0,0,09/12/2014 1:20
0,-5.690918,0,0,0,0,378.1128,0,0,09/12/2014 1:23
0,-5.79771087,0,0,0,0,378.1128,0,0,09/12/2014 1:23
0,-6.437988,0,0,0,0,378.1128,0,0,09/12/2014 1:23
0,0.3955078,0,0,0,0,378.1128,0,0,09/12/2014 1:23
0,-4.702148,0,0,0,0,378.1128,0,0,09/12/2014 1:23
0,-6.37207,0,0,0,0,378.1128,0,0,09/12/2014 1:24
0,-6.553097132,0,0,0,0,378.1128,0,0,09/12/2014 1:24
0,-6.884805543,0,0,0,0,379.9438,0,0,09/12/2014 1:25
0,-6.899861608,0,0,0,0,376.2817,0,0,09/12/2014 1:25
0,-7.141113,0,0,0,0,377.3035281,0,0,09/12/2014 1:25
0,-6.692449808,0,0,0,0,379.0283,0,0,09/12/2014 1:26
0,-6.459961,0,0,0,0,378.7080007,0,0,09/12/2014 1:27
0,-5.844727,0,0,0,0,378.5259011,0,0,09/12/2014 1:27
0,-6.833496,0,0,0,0,378.4560917,0,0,09/12/2014 1:27
0,-4.240723,0,0,0,0,378.318796,0,0,09/12/2014 1:27
0,-8.085938,0,0,0,0,378.273088,0,0,09/12/2014 1:27
0,-2.834473,0,0,0,0,378.250234,0,0,09/12/2014 1:27
0,-8.525391,0,0,0,0,378.1829309,0,0,09/12/2014 1:28
0,-5.493164,0,0,0,0,377.7008797,0,0,09/12/2014 1:28
0,-5.405273,0,0,0,0,377.334529,0,0,09/12/2014 1:29
0,-7.163086,0,0,0,0,377.1286828,0,0,09/12/2014 1:29
0,-4.152832,0,0,0,0,377.014058,0,0,09/12/2014 1:29
0,-7.580566,0,0,0,0,376.8096309,0,0,09/12/2014 1:30
0,-7.817637074,0,0,0,0,376.2817,0,0,09/12/2014 1:30
0,-7.858765162,0,0,0,0,378.1128,0,0,09/12/2014 1:30
